,PE,ROE,Sector
DOV,26.958698,0.14998001,Industrials
DOW,,-0.15262,Basic Materials
DHI,13.684211,0.13084,Consumer Cyclical
DTE,23.825369,0.10423,Utilities
DUK,19.226154,0.09661,Utilities
DD,130.1579,0.00896,Basic Materials
ETN,39.368164,0.20844999,Industrials
EBAY,26.569122,0.42875,Consumer Cyclical
SATS,,-1.1228399,Communication Services
ECL,34.355404,0.22427,Basic Materials
EIX,7.7434783,0.18864,Utilities
EW,47.31892,0.1046,Healthcare
EA,57.139206,0.1349,Communication Services
ELV,16.448261,0.12086,Healthcare
EME,28.906376,0.39229,Industrials
EMR,32.707657,0.12328,Industrials
ETR,28.563776,0.10751,Utilities
EOG,13.39233,0.18195,Energy
EPAM,14.3232765,0.10932,Technology
EQT,10.666034,0.13402,Energy
EFX,28.663733,0.1437,Industrials
EQIX,74.62812,0.10059,Real Estate
EQR,26.452,0.08671,Real Estate
ERIE,20.44638,0.2585,Financial Services
ESS,31.151688,0.105579995,Real Estate
EL,,-0.05949,Consumer Defensive
EG,7.17332,0.13822,Financial Services
EVRG,22.36968,0.08866999,Utilities
ES,14.925053,0.10912,Utilities
EXC,16.860806,0.09764,Utilities
EXE,7.0349708,0.17568001,Energy
EXPE,19.679611,0.71494,Consumer Cyclical
EXPD,25.961227,0.36641,Industrials
EXR,32.357307,0.0683,Real Estate
XOM,25.178152,0.09873,Energy
FFIV,32.56768,0.2034,Technology
FDS,14.859716,0.28084,Financial Services
FICO,39.99651,,Technology
FAST,39.336285,0.33842,Industrials
FRT,20.824957,0.14783,Real Estate
FDX,21.367521,0.15869,Industrials
FIS,8.182171,0.17225,Technology
FITB,16.77441,0.07969,Financial Services
FSLR,17.449903,0.18436001,Technology
FE,25.347826,0.094610006,Utilities
FISV,9.425424,,Unknown
F,,-0.14813,Consumer Cyclical
FTNT,51.72201,1.32392,Technology
FTV,35.482353,0.06814,Technology
FOXA,17.094736,0.152,Communication Services
FOX,15.284211,0.152,Communication Services
BEN,24.175573,0.06704,Financial Services
FCX,34.05291,0.15630999,Basic Materials
GRMN,26.591972,0.19899,Technology
IT,15.601779,0.94878,Technology
GE,39.067078,0.45428002,Industrials
GEHC,15.390887,0.19462,Healthcare
GEV,31.245476,0.75708,Industrials
GEN,15.7707,0.39876997,Technology
GNRC,86.150475,0.07388,Industrials
GD,21.689114,0.17974001,Industrials
GIS,8.107579,0.23591,Consumer Defensive
GM,29.120438,0.040149998,Consumer Cyclical
GPC,220.56819,0.01342,Consumer Cyclical
GILD,18.169836,0.4336,Healthcare
GPN,26.941175,0.02935,Industrials
GL,10.847751,0.20455,Financial Services
GDDY,14.103011,3.98215,Technology
GS,18.148176,0.14548,Financial Services
HAL,22.696135,0.14626999,Energy
HIG,9.525686,0.22735001,Financial Services
HAS,,-0.23316,Consumer Cyclical
HCA,13.513085,,Healthcare
DOC,62.593754,0.027999999,Real Estate
HSIC,22.326284,0.08762,Healthcare
HSY,35.590317,0.23234,Consumer Defensive
HPE,,-0.00471,Technology
HLT,49.512234,,Consumer Cyclical
HD,22.071074,1.2838,Consumer Cyclical
HON,37.015972,0.24264,Industrials
HRL,23.47191,0.061160002,Consumer Defensive
HST,15.721088,0.1487,Real Estate
HWM,60.622684,0.33818,Industrials
HPQ,9.253788,,Technology
HUBB,28.253546,0.25822002,Industrials
HUM,32.163113,0.062800005,Healthcare
HBAN,12.353847,0.083859995,Financial Services
HII,20.827385,0.12198,Industrials
IBM,22.16534,0.35772,Technology
IEX,31.232248,0.12748,Industrials
IDXX,40.971325,0.72915,Healthcare
ITW,23.250696,0.96848,Industrials
INCY,13.714689,0.30823,Healthcare
IR,48.93919,0.057150003,Industrials
PODD,35.934578,0.22997999,Healthcare
INTC,,-0.02911,Technology
IBKR,35.575108,0.2356,Financial Services
ICE,21.92722,0.13853,Financial Services
IFF,23.489164,0.060510002,Basic Materials
IP,,-0.16036,Consumer Cyclical
INTU,18.580587,0.22496,Technology
ISRG,53.18392,0.17232999,Healthcare
IVZ,,-0.01535,Financial Services
INVH,30.947369,0.061929997,Real Estate
IQV,20.124224,0.22490999,Healthcare
IRM,139.5652,,Real Estate
JBHT,41.493027,0.16676001,Industrials
JBL,51.315792,0.59696996,Technology
JKHY,19.184359,0.24892001,Technology
J,34.174038,0.09380999,Industrials
JNJ,26.672073,0.26416,Healthcare
JCI,42.880733,0.13449,Industrials
JPM,14.68358,0.16465001,Financial Services
KVUE,20.821428,0.15701,Consumer Defensive
KDP,21.888887,0.06312,Consumer Defensive
KEY,13.355828,0.09977,Financial Services
KEYS,57.10112,0.18174,Technology
KMB,19.104448,1.11727,Consumer Defensive
KIM,28.206898,0.058579996,Real Estate
KMI,22.060402,0.10597,Energy
KKR,32.30952,0.076630004,Financial Services
KLAC,56.818924,0.94975996,Technology
KHC,,-0.12576,Consumer Defensive
KR,41.91559,0.14405,Consumer Defensive
LHX,33.998913,,Industrials
LH,22.891941,0.11047,Healthcare
LRCX,60.998108,0.66762,Technology
LVS,18.357933,0.90455,Consumer Cyclical
LDOS,11.721866,0.30579,Technology
LEN,12.847483,0.08076,Consumer Cyclical
LII,22.326077,0.76791,Industrials
LLY,37.87762,1.07459,Healthcare
LIN,34.12657,0.18229,Basic Materials
LYV,,0.14927,Communication Services
LMT,25.76886,0.6764,Industrials
L,13.861499,0.09217,Financial Services
